Intent no,Intent Name,Bangla Questions,Banglish Question 1,Bangla Answer 1,Alternative Bangla Answer 2
1,need help,আপনাদের সম্পর্কে কিছু প্রশ্ন ছিল,Apnader shomporke kichu proshno chilo,জ্বী স্যার/ম্যাডাম বলুন আমরা কীভাবে আপনাকে হেল্প করতে পারি?,
,,আমাকে একটু সাহায্য করবেন,amake ektu help korben ,জ্বী বলুন,কি হেল্প লাগবে ?
,,একটা প্রশ্ন করি?,Ekta proshno kori? ,আমরা আছি আপনাদের সেবায়,
,,আমার একটি হেল্প দরকার,Amar ekti help dorkar,জ্বী স্যার/ম্যাডাম অবশ্যই,
,,আমার কয়েকটি প্রশ্ন আছে,Amar koyekti proshno ache,"জ্বী । আমাকে প্রশ্ন করুন, আমি সবসময় চেষ্টা করব আপনার প্রয়োজনীয় উত্তর দিয়ে আপনাকে",
,,আমাকে একটি সাহায্য করা যাবে কি?,Amake ekti sahajjo kora jabe ki? ,জ্বী । নির্দ্বিধায় বলে ফেলুন। ,
,,আপনাদের প্রোডাক্ট ব্যবহারে সাহায্যের প্রয়োজন। ,Apnader product bebohare shajjer proyojon. ,জ্বী স্যার/ম্যাডাম বলুন আমরা কীভাবে আপনাকে হেল্প করতে পারি?,
,,আমাকে একটু হেল্প করুন,Amake ektu help korun,জ্বী স্যার/ম্যাডাম বলুন আমরা কীভাবে আপনাকে হেল্প করতে পারি?,
,,আপনি আমাকে X বিষয়ে কিছু ইনফো দিতে পারবেন?,Apni amake X beshoy e kichu info dite parben?,জ্বী স্যার/ম্যাডাম বলুন আমরা কি ইনফো দিয়ে আপনাকে হেল্প করতে পারি?,
,,আমাকে কিছু তথ্য দেন,Amake kichu tottho den,জ্বী স্যার/ম্যাডাম বলুন আমরা কি ইনফো দিয়ে আপনাকে হেল্প করতে পারি?,
,,"ভাই আমি কিছু জিনিস জানতে চাই, একটু সময় হবে?","Vai ami kichu jinish jante chai, ektu shomoy hobe? ",জ্বী স্যার/ম্যাডাম বলুন আমরা কি ইনফো দিয়ে আপনাকে হেল্প করতে পারি?,
,,"এটা কি ""X"" অনলাইন পেজ?",Eta ki “X” online page?,জ্বি স্যার/ম্যাম,জ্বি না স্যার/ম্যাম
,,আপনি কি ফ্রি আছেন?,Apni ki free achen? ,জ্বী বলুন,
,,আমার কিছু প্রশ্ন আছে,Amar kichu proshno ache,জ্বী স্যার/ম্যাডাম বলুন আমরা কি ইনফো দিয়ে আপনাকে হেল্প করতে পারি?,
,,,,,
2,details,আপনারা কে?,Apnara ke?,আমার ই-স্কুল এমন একটি উদ্যোগ লক্ষ্য হলো শিক্ষার্থীদের মাঝে উন্নত এবং কার্যকর শিক্ষা পৌঁছে দেওয়া। আমরা এমন একটি শিক্ষাদান-সংক্রান্ত সংস্থা যারা অত্যন্ত যোগ্য শিক্ষকদের দ্বারা তৈরিকৃত লাইভ ভিডিও প্রদানের মাধ্যমে শিক্ষার্থীদের জন্য গুণগত মান-সম্পন্ন শিক্ষাদানের ব্যবস্থা করে থাকি। ২০১৯ সাল থেকে এই পর্যন্ত আমরা সারা বাংলাদেশে ৫০টি বিশ্ববিদ্যালয়ের শিক্ষার্থীদের সাথে সম্পৃক্ত হতে পেরেছি।,
,,আপনাদের সম্পর্কে কিছু বলুন।,Apnader shomporke kichu bolun,সুযোগ্য শিক্ষকদের মাধ্যমে শিক্ষা বিষয়ক বিভিন্ন লাইভ ভিডিও তৈরি এবং প্রদানের মাধ্যমে শিক্ষার্থীদের মাঝে গুণগত ও কার্যকর শিক্ষাদান করে থাকি।,
,,এটা কি জানতে চাচ্ছিলাম? ,eta ki jante chacchilam,"স্যার, আমার ই-স্কুল একটি অনলাইন লার্নিং প্লাটফর্ম",
,,,Eita ki type institution?,"স্যার, আমার ই-স্কুল একটি অনলাইন লার্নিং প্লাটফর্ম",
,,আপনাদের নিয়ে ডিটেইলস জানতে চাই।,Apnader niye details jante chai,আমরা মুলত XYZ বিষয়ে সার্ভিস দিয়ে থাকি। আমাদের সার্ভিস নিয়ে আরো বিস্তারিত জানতে আমাদের ওয়েবসাইট ভিসিট করুন।,
,,আমার ই স্কুল সম্পর্কে জানতে চাই,Amar iSchool shomporke jante chai,আমার ই-স্কুল একটি অনলাইন লার্নিং প্লাটফর্ম। আমাদের সার্ভিস নিয়ে আরো বিস্তারিত জানতে আমাদের ওয়েবসাইট ভিসিট করুন।,
,,,Amar iSchool ki? ,আমার ই-স্কুল এমন একটি উদ্যোগ লক্ষ্য হলো শিক্ষার্থীদের মাঝে উন্নত এবং কার্যকর শিক্ষা পৌঁছে দেওয়া। আমরা এমন একটি শিক্ষাদান-সংক্রান্ত সংস্থা যারা অত্যন্ত যোগ্য শিক্ষকদের দ্বারা তৈরিকৃত লাইভ ভিডিও প্রদানের মাধ্যমে শিক্ষার্থীদের জন্য গুণগত মান-সম্পন্ন শিক্ষাদানের ব্যবস্থা করে থাকি। ২০১৯ সাল থেকে এই পর্যন্ত আমরা সারা বাংলাদেশে ৫০টি বিশ্ববিদ্যালয়ের শিক্ষার্থীদের সাথে সম্পৃক্ত হতে পেরেছি।,
,,"আমাকে একটু বলেন আপনাদের কাজ সম্পর্কে 
",Amake ektu bolen apander kaj shomporke,আমরা মুলত XYZ বিষয়ে সার্ভিস দিয়ে থাকি। আমাদের সার্ভিস নিয়ে আরো বিস্তারিত জানতে আমাদের ওয়েবসাইট ভিসিট করুন।,
